항목,값
선생님이름,
학교명,
학교급,
담임여부,
담임학년,
담임반,
출근시간,
퇴근시간,
조회시작,
1교시시작,
점심종료시간,
월요일마지막교시,
화요일마지막교시,
수요일마지막교시,
목요일마지막교시,
금요일마지막교시,
업무캘린더ID,
업무캘린더이름,
학사일정캘린더ID,
학사일정캘린더이름,
업무Tasks목록ID,
업무Tasks목록이름,
담임안내Tasks목록ID,
담임안내Tasks목록이름,
